P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
Xalvarezi	Xbirchmanni_GARC	Xsignum	33.2498	0	-0.0482999	2.97661e+06	47307.9	63004.8	283770	4358	1.00354e+06	33845.7	31161.1	22330.6	1.91066e+06	20628.9	26148.4	27624.4	564999	3072.12
Xalvarezi	Xsignum	Xbirchmanni_GARC	34.7817	0	0.042187	2.97661e+06	63004.8	47307.9	283770	4358	1.00354e+06	22330.6	26148.4	33845.7	1.91066e+06	27624.4	31161.1	20628.9	564999	3072.12
Xalvarezi	Xbirchmanni_GARC	Xvariatus	0.056991	0.477276	0.000107669	2.8717e+06	139180	51576.2	254306	6121.62	928586	40710.6	60122	40733.6	1.81131e+06	62452	20350	20969	499317	2949.88
Xalvarezi	Xvariatus	Xbirchmanni_GARC	0.0569848	0.477279	-0.000107703	2.8717e+06	51576.2	139180	254306	6121.62	928586	40733.6	20350	40710.6	1.81131e+06	20969	60122	62452	499317	2949.88
Xalvarezi	Xbirchmanni_GARC	Xxiphidium	32.4223	0	0.646652	2.26018e+06	706604	34795.4	131543	13396.8	576412	111102	209636	148510	1.34549e+06	288225	11739.8	14369.4	248799	4139.75
Xbirchmanni_GARC	Xalvarezi	Xxiphidium	-14.7059	1	-4.88486	2.26018e+06	706604	576412	111102	209636	34795.4	131543	13396.8	148510	1.34549e+06	288225	11739.8	248799	14369.4	4139.75
Xalvarezi	Xclemenciae_F2	Xcontinens	20.5727	0	0.0297343	2.91501e+06	63304.7	85175.2	266693	6973.62	956857	28548.3	25167.2	35846.4	1.85254e+06	29241.8	40356.9	33328.2	525563	2878.88
Xalvarezi	Xcontinens	Xclemenciae_F2	19.9422	0	-0.0326465	2.91501e+06	85175.2	63304.7	266693	6973.62	956857	35846.4	40356.9	28548.3	1.85254e+06	33328.2	25167.2	29241.8	525563	2878.88
Xalvarezi	Xclemenciae_F2	Xcortezi	7.71215	6.21725e-15	0.0133023	2.88496e+06	88935.9	84191.6	254391	7003.5	922988	35561.7	38767.9	38511.9	1.8289e+06	36957.6	37860.2	33794.6	501047	2914.12
Xalvarezi	Xcortezi	Xclemenciae_F2	7.60818	1.39888e-14	-0.0138553	2.88496e+06	84191.6	88935.9	254391	7003.5	922988	38511.9	37860.2	35561.7	1.8289e+06	33794.6	38767.9	36957.6	501047	2914.12
